,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.4056603773584906,0.25443786982248523,1.0,1069.796,0,252,0,86
0.66,0.4056603773584906,0.25443786982248523,1.0,1069.806,0,252,0,86
0.67,0.4056603773584906,0.25443786982248523,1.0,1069.809,0,252,0,86
0.68,0.4056603773584906,0.25443786982248523,1.0,1069.9,0,252,0,86
0.6900000000000001,0.4056603773584906,0.25443786982248523,1.0,1070.009,0,252,0,86
0.7000000000000001,0.4056603773584906,0.25443786982248523,1.0,1070.152,0,252,0,86
0.7100000000000001,0.4056603773584906,0.25443786982248523,1.0,1070.214,0,252,0,86
0.7200000000000001,0.4056603773584906,0.25443786982248523,1.0,1070.426,0,252,0,86
0.7300000000000001,0.4056603773584906,0.25443786982248523,1.0,1070.882,0,252,0,86
0.7400000000000001,0.4075829383886256,0.25595238095238093,1.0,1071.42,2,250,0,86
0.7500000000000001,0.455026455026455,0.2945205479452055,1.0,1071.99,46,206,0,86
0.7600000000000001,0.664092664092664,0.49710982658959535,1.0,1072.595,165,87,0,86
0.7700000000000001,0.7999999999999999,0.7474747474747475,0.8604651162790697,1072.544,227,25,12,74
0.7800000000000001,0.840764331210191,0.9295774647887324,0.7674418604651163,1072.415,247,5,20,66
0.7900000000000001,0.6666666666666667,0.9565217391304348,0.5116279069767442,1071.468,250,2,42,44
0.8000000000000002,0.2626262626262626,1.0,0.1511627906976744,1071.046,252,0,73,13
0.8100000000000002,0.04545454545454545,1.0,0.023255813953488372,1070.465,252,0,84,2
0.8200000000000002,0.0,0.0,0.0,1070.21,252,0,86,0
0.8300000000000002,0.0,0.0,0.0,1069.934,252,0,86,0
0.8400000000000002,0.0,0.0,0.0,1069.922,252,0,86,0
0.8500000000000002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
