,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.4014598540145985,0.2511415525114155,1.0,574.229,0,164,0,55
0.66,0.4014598540145985,0.2511415525114155,1.0,574.266,0,164,0,55
0.67,0.4014598540145985,0.2511415525114155,1.0,574.3,0,164,0,55
0.68,0.4014598540145985,0.2511415525114155,1.0,574.33,0,164,0,55
0.6900000000000001,0.4014598540145985,0.2511415525114155,1.0,574.364,0,164,0,55
0.7000000000000001,0.4014598540145985,0.2511415525114155,1.0,574.384,0,164,0,55
0.7100000000000001,0.4014598540145985,0.2511415525114155,1.0,574.498,0,164,0,55
0.7200000000000001,0.4014598540145985,0.2511415525114155,1.0,574.589,0,164,0,55
0.7300000000000001,0.40293040293040294,0.25229357798165136,1.0,574.65,1,163,0,55
0.7400000000000001,0.46025104602510464,0.29891304347826086,1.0,574.768,35,129,0,55
0.7500000000000001,0.6887417218543046,0.5416666666666666,0.9454545454545454,574.844,120,44,3,52
0.7600000000000001,0.897196261682243,0.9230769230769231,0.8727272727272727,574.898,160,4,7,48
0.7700000000000001,0.8800000000000001,0.9777777777777777,0.8,574.931,163,1,11,44
0.7800000000000001,0.865979381443299,1.0,0.7636363636363637,574.936,164,0,13,42
0.7900000000000001,0.7058823529411764,1.0,0.5454545454545454,574.67,164,0,25,30
0.8000000000000002,0.25396825396825395,1.0,0.14545454545454545,574.512,164,0,47,8
0.8100000000000002,0.03571428571428572,1.0,0.01818181818181818,574.453,164,0,54,1
0.8200000000000002,0.0,0.0,0.0,574.32,164,0,55,0
0.8300000000000002,0.0,0.0,0.0,574.238,164,0,55,0
0.8400000000000002,0.0,0.0,0.0,574.161,164,0,55,0
0.8500000000000002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
