,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.40611353711790393,0.2547945205479452,1.0,2964.0298381786347,0,272,0,93
0.66,0.40611353711790393,0.2547945205479452,1.0,2964.0283840637208,0,272,0,93
0.67,0.40611353711790393,0.2547945205479452,1.0,2964.0311268310547,0,272,0,93
0.68,0.40611353711790393,0.2547945205479452,1.0,2964.039955947876,0,272,0,93
0.6900000000000001,0.40611353711790393,0.2547945205479452,1.0,2964.037896249771,0,272,0,93
0.7000000000000001,0.40611353711790393,0.2547945205479452,1.0,2964.170085762024,0,272,0,93
0.7100000000000001,0.4070021881838074,0.2554945054945055,1.0,2964.5429302196503,1,271,0,93
0.7200000000000001,0.4142538975501114,0.2612359550561798,1.0,2965.102168891907,9,263,0,93
0.7300000000000001,0.42660550458715596,0.27113702623906705,1.0,2966.4858492355347,22,250,0,93
0.7400000000000001,0.48186528497409326,0.3174061433447099,1.0,2968.4131747226716,72,200,0,93
0.7500000000000001,0.6220735785953178,0.45145631067961167,1.0,2969.804100130081,159,113,0,93
0.7600000000000001,0.7317073170731707,0.5882352941176471,0.967741935483871,2969.4457846622468,209,63,3,90
0.7700000000000001,0.7004608294930876,0.6129032258064516,0.8172043010752689,2967.7777482013703,224,48,17,76
0.7800000000000001,0.6703910614525139,0.6976744186046512,0.6451612903225806,2967.4105299453736,246,26,33,60
0.7900000000000001,0.4864864864864865,0.6545454545454545,0.3870967741935484,2966.8327170352936,253,19,57,36
0.8000000000000002,0.3305785123966942,0.7142857142857143,0.21505376344086022,2966.371347759247,264,8,73,20
0.8100000000000002,0.14678899082568808,0.5,0.08602150537634409,2965.8640669326783,264,8,85,8
0.8200000000000002,0.08080808080808081,0.6666666666666666,0.043010752688172046,2965.1724375228882,270,2,89,4
0.8300000000000002,0.0,0.0,0.0,2964.6884978752137,272,0,93,0
0.8400000000000002,0.0,0.0,0.0,2964.3283525447846,271,1,93,0
0.8500000000000002,0.0,0.0,0.0,2964.199266050339,272,0,93,0
