,f1_pos,prec,rec,execution_time(sec),tp,fp,fn,tn
0.65,0.4014598540145985,0.2511415525114155,1.0,1546.4534758052826,0,164,0,55
0.66,0.4014598540145985,0.2511415525114155,1.0,1546.4514807186126,0,164,0,55
0.67,0.4014598540145985,0.2511415525114155,1.0,1546.4524782619476,0,164,0,55
0.68,0.4014598540145985,0.2511415525114155,1.0,1546.4794062099456,0,164,0,55
0.6900000000000001,0.4014598540145985,0.2511415525114155,1.0,1546.4986651859283,0,164,0,55
0.7000000000000001,0.4014598540145985,0.2511415525114155,1.0,1546.5689753017425,0,164,0,55
0.7100000000000001,0.40293040293040294,0.25229357798165136,1.0,1546.7466519794464,1,163,0,55
0.7200000000000001,0.41860465116279066,0.2660098522167488,0.9818181818181818,1546.9764438591003,15,149,1,54
0.7300000000000001,0.4655172413793104,0.3050847457627119,0.9818181818181818,1547.352006526947,41,123,1,54
0.7400000000000001,0.5684210526315789,0.4,0.9818181818181818,1547.7275649032592,83,81,1,54
0.7500000000000001,0.736111111111111,0.5955056179775281,0.9636363636363636,1547.920985551834,128,36,2,53
0.7600000000000001,0.8771929824561402,0.847457627118644,0.9090909090909091,1547.8092077693939,155,9,5,50
0.7700000000000001,0.8823529411764706,0.9574468085106383,0.8181818181818182,1547.4724546394348,162,2,10,45
0.7800000000000001,0.7415730337078651,0.9705882352941176,0.6,1547.2361679992675,163,1,22,33
0.7900000000000001,0.6075949367088608,1.0,0.43636363636363634,1547.0508969745636,164,0,31,24
0.8000000000000002,0.4225352112676056,0.9375,0.2727272727272727,1546.9184628448486,163,1,40,15
0.8100000000000002,0.13559322033898305,1.0,0.07272727272727272,1546.7786596736908,164,0,51,4
0.8200000000000002,0.03571428571428572,1.0,0.01818181818181818,1546.6555264911651,164,0,54,1
0.8300000000000002,0.03571428571428572,1.0,0.01818181818181818,1546.5581949672699,164,0,54,1
0.8400000000000002,0.0,0.0,0.0,1546.4764138183593,164,0,55,0
0.8500000000000002,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
